Date,Time,Temperature,Relative Humidity,Cloud Type,Wind Speed,Wind Direction,GHI
2018-01-01,00:00:00,-12.6,86.05,4.0,4.7,313.0,0.0
2018-01-01,01:00:00,-12.9,87.26,7.0,4.6,313.0,0.0
2018-01-01,02:00:00,-13.0,87.51,7.0,4.4,312.0,0.0
2018-01-01,03:00:00,-13.1,88.17,4.0,4.2,313.0,0.0
2018-01-01,04:00:00,-13.2,89.15,4.0,4.1,314.0,0.0
2018-01-01,05:00:00,-13.2,88.85,4.0,3.8,310.0,0.0
2018-01-01,06:00:00,-13.0,87.29,7.0,3.5,301.0,0.0
2018-01-01,07:00:00,-12.7,86.44,4.0,3.3,287.0,0.0
2018-01-01,08:00:00,-12.3,87.2,7.0,3.6,274.0,0.0
2018-01-01,09:00:00,-11.7,87.91,4.0,4.3,266.0,0.0
2018-01-01,10:00:00,-11.0,88.43,4.0,5.1,262.0,0.0
2018-01-01,11:00:00,-10.3,87.22,4.0,6.1,260.0,0.0
2018-01-01,12:00:00,-9.9,85.48,4.0,6.9,258.0,0.0
2018-01-01,13:00:00,-9.7,84.83,4.0,7.5,256.0,5.0
2018-01-01,14:00:00,-9.4,83.75,7.0,7.8,257.0,98.0
2018-01-01,15:00:00,-8.9,81.36,7.0,8.1,259.0,207.0
2018-01-01,16:00:00,-8.3,78.59,7.0,8.2,261.0,264.0
2018-01-01,17:00:00,-7.9,77.17,7.0,8.3,261.0,294.0
2018-01-01,18:00:00,-7.4,76.38,7.0,8.4,260.0,308.0
2018-01-01,19:00:00,-7.1,78.19,4.0,8.5,263.0,222.0
2018-01-01,20:00:00,-7.1,80.54,4.0,7.9,276.0,110.0
2018-01-01,21:00:00,-7.7,82.24,4.0,7.7,300.0,64.0
2018-01-01,22:00:00,-8.9,82.76,4.0,8.4,314.0,0.0
2018-01-01,23:00:00,-9.8,82.95,4.0,8.2,310.0,0.0
2018-01-02,00:00:00,-10.2,83.75,4.0,7.5,303.0,0.0
2018-01-02,01:00:00,-10.4,86.5,7.0,6.8,297.0,0.0
2018-01-02,02:00:00,-9.9,88.12,4.0,6.4,288.0,0.0
2018-01-02,03:00:00,-8.8,87.36,4.0,6.6,282.0,0.0
2018-01-02,04:00:00,-8.0,86.7,4.0,6.6,277.0,0.0
2018-01-02,05:00:00,-7.6,86.69,4.0,6.8,272.0,0.0
2018-01-02,06:00:00,-7.3,86.62,4.0,7.2,267.0,0.0
2018-01-02,07:00:00,-7.2,87.34,7.0,7.7,262.0,0.0
2018-01-02,08:00:00,-7.3,87.77,7.0,8.4,260.0,0.0
2018-01-02,09:00:00,-7.5,87.79,4.0,9.0,258.0,0.0
2018-01-02,10:00:00,-7.7,87.15,4.0,9.3,256.0,0.0
2018-01-02,11:00:00,-8.0,87.66,7.0,9.2,253.0,0.0
2018-01-02,12:00:00,-8.3,87.51,7.0,9.5,250.0,0.0
2018-01-02,13:00:00,-8.5,87.82,7.0,9.9,247.0,6.0
2018-01-02,14:00:00,-8.2,87.44,7.0,10.4,246.0,83.0
2018-01-02,15:00:00,-7.6,86.29,6.0,11.0,247.0,105.0
2018-01-02,16:00:00,-7.0,83.79,6.0,11.3,250.0,186.0
2018-01-02,17:00:00,-6.6,81.39,6.0,11.4,251.0,187.0
2018-01-02,18:00:00,-6.3,79.73,7.0,11.4,251.0,210.0
2018-01-02,19:00:00,-6.3,79.85,4.0,11.4,250.0,196.0
2018-01-02,20:00:00,-6.5,81.22,4.0,11.2,248.0,176.0
2018-01-02,21:00:00,-6.9,83.7,4.0,10.9,246.0,62.0
2018-01-02,22:00:00,-7.2,86.01,7.0,10.4,244.0,0.0
2018-01-02,23:00:00,-7.4,87.59,7.0,10.0,243.0,0.0
2018-01-03,00:00:00,-7.5,87.73,7.0,9.7,243.0,0.0
2018-01-03,01:00:00,-7.6,87.5,4.0,9.6,242.0,0.0
2018-01-03,02:00:00,-7.9,87.93,4.0,9.6,243.0,0.0
2018-01-03,03:00:00,-8.4,88.74,7.0,9.6,243.0,0.0
2018-01-03,04:00:00,-8.8,88.3,6.0,9.4,243.0,0.0
2018-01-03,05:00:00,-9.1,87.29,6.0,9.2,243.0,0.0
2018-01-03,06:00:00,-9.3,86.82,6.0,9.0,243.0,0.0
2018-01-03,07:00:00,-9.4,87.09,7.0,8.8,242.0,0.0
2018-01-03,08:00:00,-9.4,87.66,7.0,8.7,240.0,0.0
2018-01-03,09:00:00,-9.1,86.53,7.0,8.6,238.0,0.0
2018-01-03,10:00:00,-8.7,84.95,7.0,8.5,236.0,0.0
2018-01-03,11:00:00,-8.4,84.2,4.0,8.4,233.0,0.0
2018-01-03,12:00:00,-8.2,84.33,4.0,8.4,231.0,0.0
2018-01-03,13:00:00,-7.8,82.93,4.0,8.5,229.0,5.0
2018-01-03,14:00:00,-7.2,80.8,4.0,8.5,228.0,87.0
2018-01-03,15:00:00,-6.4,77.69,4.0,8.9,228.0,154.0
2018-01-03,16:00:00,-5.8,75.52,4.0,8.9,229.0,175.0
2018-01-03,17:00:00,-5.4,74.34,4.0,8.7,230.0,257.0
2018-01-03,18:00:00,-5.2,74.88,7.0,8.5,230.0,108.0
2018-01-03,19:00:00,-5.1,76.35,7.0,8.4,229.0,147.0
2018-01-03,20:00:00,-5.0,78.0,4.0,8.3,228.0,104.0
2018-01-03,21:00:00,-5.1,79.93,4.0,8.1,230.0,49.0
2018-01-03,22:00:00,-5.2,81.06,4.0,7.9,233.0,0.0
2018-01-03,23:00:00,-5.2,82.07,4.0,7.7,235.0,0.0
2018-01-04,00:00:00,-5.3,82.84,4.0,7.5,241.0,0.0
2018-01-04,01:00:00,-5.6,83.14,4.0,7.2,250.0,0.0
2018-01-04,02:00:00,-6.2,84.16,4.0,6.7,259.0,0.0
2018-01-04,03:00:00,-6.7,83.56,4.0,6.0,264.0,0.0
2018-01-04,04:00:00,-7.3,84.1,4.0,5.3,264.0,0.0
2018-01-04,05:00:00,-7.6,84.43,4.0,4.7,261.0,0.0
